18/01/2023 21:00,DCNN,4206,12,1,NCM,556,1011,4.7,0,NA,NA,6,6,NA,NA,NA,NA,NA,NA,18/01/2023 21:02,0
19/01/2023 09:00,DCNN,4206,12,1,NCM,556,1011,0.6,-2.3,-8.2,-6.1,6,6,6,6,NA,NA,NA,NA,19/01/2023 09:04,0
19/01/2023 21:00,DCNN,4206,12,1,NCM,556,1011,3.5,-1,NA,NA,6,6,NA,NA,NA,NA,NA,NA,19/01/2023 21:02,0
20/01/2023 09:00,DCNN,4206,12,1,NCM,556,1011,3.2,-0.1,-4.4,-3.9,6,6,6,6,NA,NA,NA,NA,20/01/2023 09:03,0
20/01/2023 21:00,DCNN,4206,12,1,NCM,556,1011,5.8,0.7,NA,NA,6,6,NA,NA,NA,NA,NA,NA,20/01/2023 21:02,0
21/01/2023 09:00,DCNN,4206,12,1,NCM,556,1011,1.7,-3.7,-11.8,-8.4,6,6,6,6,NA,NA,NA,NA,21/01/2023 09:04,0
21/01/2023 21:00,DCNN,4206,12,1,NCM,556,1011,4.9,-2.9,NA,NA,6,6,NA,NA,NA,NA,NA,NA,21/01/2023 21:02,0
22/01/2023 09:00,DCNN,4206,12,1,NCM,556,1011,-0.4,-4.4,-12.2,-8.8,6,6,6,6,NA,NA,NA,NA,22/01/2023 09:04,0
22/01/2023 21:00,DCNN,4206,12,1,NCM,556,1011,2.5,-1.6,NA,NA,6,6,NA,NA,NA,NA,NA,NA,22/01/2023 21:02,0
23/01/2023 09:00,DCNN,4206,12,1,NCM,556,1011,1.9,-0.7,-4.7,-3.3,6,6,6,6,NA,NA,NA,NA,23/01/2023 09:04,0
23/01/2023 21:00,DCNN,4206,12,1,NCM,556,1011,6.6,-0.3,NA,NA,6,6,NA,NA,NA,NA,NA,NA,23/01/2023 21:02,0
24/01/2023 09:00,DCNN,4206,12,1,NCM,556,1011,0.7,-1.4,-7.2,-4.9,6,6,6,6,NA,NA,NA,NA,24/01/2023 09:04,0
