ob_end_time,id_type,id,ob_hour_count,version_num,met_domain_name,src_id,rec_st_ind,max_air_temp,min_air_temp,min_grss_temp,min_conc_temp,max_air_temp_q,min_air_temp_q,min_grss_temp_q,min_conc_temp_q,max_air_temp_j,min_air_temp_j,min_grss_temp_j,min_conc_temp_j,meto_stmp_time,midas_stmp_etime
05/02/2022 21:00,DCNN,4206,12,1,NCM,556,1011,8.8,3.4,NA,NA,6,6,NA,NA,NA,NA,NA,NA,05/02/2022 21:10,0
06/02/2022 09:00,DCNN,4206,12,1,NCM,556,1011,8.6,6.1,4.7,4.7,6,6,6,6,NA,NA,NA,NA,06/02/2022 09:09,0
06/02/2022 21:00,DCNN,4206,12,1,NCM,556,1011,8.5,4.4,NA,NA,6,6,NA,NA,NA,NA,NA,NA,06/02/2022 21:11,0
07/02/2022 09:00,DCNN,4206,12,1,NCM,556,1011,4.6,0.6,-1.9,-2.2,6,6,6,6,NA,NA,NA,NA,07/02/2022 09:11,0
07/02/2022 21:00,DCNN,4206,12,1,NCM,556,1011,9.6,2.1,NA,NA,6,6,NA,NA,NA,NA,NA,NA,07/02/2022 21:10,0
08/02/2022 09:00,DCNN,4206,12,1,NCM,556,1011,10.4,9,7.3,6.4,6,6,6,6,NA,NA,NA,NA,08/02/2022 09:08,0
08/02/2022 21:00,DCNN,4206,12,1,NCM,556,1011,12.7,10,NA,NA,6,6,NA,NA,NA,NA,NA,NA,08/02/2022 21:06,0
09/02/2022 09:00,DCNN,4206,12,1,NCM,556,1011,10.3,7.6,5.8,6.2,6,6,6,6,NA,NA,NA,NA,09/02/2022 09:10,0
09/02/2022 21:00,DCNN,4206,12,1,NCM,556,1011,9.3,5.2,NA,NA,6,6,NA,NA,NA,NA,NA,NA,09/02/2022 21:09,0
10/02/2022 09:00,DCNN,4206,12,1,NCM,556,1011,5.3,2.3,0.1,0,6,6,6,6,NA,NA,NA,NA,10/02/2022 09:10,0
10/02/2022 21:00,DCNN,4206,12,1,NCM,556,1011,7.7,2.6,NA,NA,6,6,NA,NA,NA,NA,NA,NA,10/02/2022 21:07,0
11/02/2022 09:00,DCNN,4206,12,1,NCM,556,1011,4.9,0.4,-6.3,-3.1,6,6,6,6,NA,NA,NA,NA,11/02/2022 09:09,0
11/02/2022 21:00,DCNN,4206,12,1,NCM,556,1011,7.6,1.9,NA,NA,6,6,NA,NA,NA,NA,NA,NA,11/02/2022 21:08,0
12/02/2022 09:00,DCNN,4206,12,1,NCM,556,1011,4.9,2.2,-0.3,-0.4,6,6,6,6,NA,NA,NA,NA,12/02/2022 09:09,0
12/02/2022 21:00,DCNN,4206,12,1,NCM,556,1011,7.3,4.9,NA,NA,6,6,NA,NA,NA,NA,NA,NA,12/02/2022 21:03,0
13/02/2022 09:00,DCNN,4206,12,1,NCM,556,1011,8.8,6.6,6,5.7,6,6,6,6,NA,NA,NA,NA,13/02/2022 09:09,0
13/02/2022 21:00,DCNN,4206,12,1,NCM,556,1011,9.4,7.1,NA,NA,6,6,NA,NA,NA,NA,NA,NA,13/02/2022 21:08,0
14/02/2022 09:00,DCNN,4206,12,1,NCM,556,1011,9.4,5.4,4.2,4.3,6,6,6,6,NA,NA,NA,NA,14/02/2022 09:10,0
14/02/2022 21:00,DCNN,4206,12,1,NCM,556,1011,6.7,4.4,NA,NA,6,6,NA,NA,NA,NA,NA,NA,14/02/2022 21:09,0
15/02/2022 09:00,DCNN,4206,12,1,NCM,556,1011,6.2,1.9,0,-0.5,6,6,6,6,NA,NA,NA,NA,15/02/2022 09:09,0
15/02/2022 21:00,DCNN,4206,12,1,NCM,556,1011,8,5.3,NA,NA,6,6,NA,NA,NA,NA,NA,NA,15/02/2022 21:09,0
16/02/2022 09:00,DCNN,4206,12,1,NCM,556,1011,11.8,5.4,1.5,2.8,6,6,6,6,NA,NA,NA,NA,16/02/2022 09:10,0
16/02/2022 21:00,DCNN,4206,12,1,NCM,556,1011,13.9,10.7,NA,NA,6,6,NA,NA,NA,NA,NA,NA,16/02/2022 21:09,0
17/02/2022 09:00,DCNN,4206,12,1,NCM,556,1011,10.7,5.4,3.5,2.2,6,6,6,6,NA,NA,NA,NA,17/02/2022 09:09,0
17/02/2022 21:00,DCNN,4206,12,1,NCM,556,1011,9.8,4.6,NA,NA,6,6,NA,NA,NA,NA,NA,NA,17/02/2022 21:09,0
18/02/2022 09:00,DCNN,4206,12,1,NCM,556,1011,9.6,4.7,2.2,2.8,6,6,6,6,NA,NA,NA,NA,18/02/2022 09:10,0
18/02/2022 21:00,DCNN,4206,12,1,NCM,556,1011,8.9,1.6,NA,NA,6,6,NA,NA,NA,NA,NA,NA,18/02/2022 21:09,0
19/02/2022 09:00,DCNN,4206,12,1,NCM,556,1011,3.9,1.5,-0.8,-1.3,6,6,6,6,NA,NA,NA,NA,19/02/2022 09:09,0
19/02/2022 21:00,DCNN,4206,12,1,NCM,556,1011,6.4,1,NA,NA,6,6,NA,NA,NA,NA,NA,NA,19/02/2022 21:09,0
20/02/2022 09:00,DCNN,4206,12,1,NCM,556,1011,9.9,0.2,-2.9,-1,6,6,6,6,NA,NA,NA,NA,20/02/2022 09:10,0
20/02/2022 21:00,DCNN,4206,12,1,NCM,556,1011,10.8,2.8,NA,NA,6,6,NA,NA,NA,NA,NA,NA,20/02/2022 21:09,0
21/02/2022 09:00,DCNN,4206,12,1,NCM,556,1011,7.2,3,0.9,0.9,6,6,6,6,NA,NA,NA,NA,21/02/2022 09:10,0
21/02/2022 21:00,DCNN,4206,12,1,NCM,556,1011,9.7,6,NA,NA,6,6,NA,NA,NA,NA,NA,NA,21/02/2022 21:09,0
22/02/2022 09:00,DCNN,4206,12,1,NCM,556,1011,9.9,5,1.6,1.4,6,6,6,6,NA,NA,NA,NA,22/02/2022 09:10,0
22/02/2022 21:00,DCNN,4206,12,1,NCM,556,1011,10.9,6.2,NA,NA,6,6,NA,NA,NA,NA,NA,NA,22/02/2022 21:10,0
23/02/2022 09:00,DCNN,4206,12,1,NCM,556,1011,6.4,3.8,-0.9,0.6,6,6,6,6,NA,NA,NA,NA,23/02/2022 09:10,0
23/02/2022 21:00,DCNN,4206,12,1,NCM,556,1011,10.5,6.4,NA,NA,6,6,NA,NA,NA,NA,NA,NA,23/02/2022 21:09,0
24/02/2022 09:00,DCNN,4206,12,1,NCM,556,1011,7.9,2.5,2.1,3.1,6,6,6,6,NA,NA,NA,NA,24/02/2022 09:10,0
24/02/2022 21:00,DCNN,4206,12,1,NCM,556,1011,6.1,2.6,NA,NA,6,6,NA,NA,NA,NA,NA,NA,24/02/2022 21:05,0
25/02/2022 09:00,DCNN,4206,12,1,NCM,556,1011,5.6,2.6,1.1,0.6,6,6,6,6,NA,NA,NA,NA,25/02/2022 09:10,0
25/02/2022 21:00,DCNN,4206,12,1,NCM,556,1011,9.9,4.1,NA,NA,6,6,NA,NA,NA,NA,NA,NA,25/02/2022 21:09,0
26/02/2022 09:00,DCNN,4206,12,1,NCM,556,1011,5.1,0.6,-3.3,-2.4,6,6,6,6,NA,NA,NA,NA,26/02/2022 09:10,0
26/02/2022 21:00,DCNN,4206,12,1,NCM,556,1011,10.7,4.4,NA,NA,6,6,NA,NA,NA,NA,NA,NA,26/02/2022 21:10,0
27/02/2022 09:00,DCNN,4206,12,1,NCM,556,1011,5.3,0.9,-2,-2.1,6,6,6,6,NA,NA,NA,NA,27/02/2022 09:10,0
